ID,SampleID,Project,Plate,Threshold,E
CT085,MID110A,Motivating,1,2861,1.85
CT086,MID110A,Motivating,1,2861,1.85
CT087,MID110A,Motivating,1,2861,1.85
CT088,MID110B,Motivating,1,2861,1.85
CT089,MID110B,Motivating,1,2861,1.85
CT090,MID110B,Motivating,1,2861,1.85
CT091,MID110C,Motivating,1,2861,1.85
CT092,MID110C,Motivating,1,2861,1.85
CT093,MID110C,Motivating,1,2861,1.85
CT094,MID110CONT,Motivating,1,2861,1.85
CT095,MID110CONT,Motivating,1,2861,1.85
CT096,MID110CONT,Motivating,1,2861,1.85
CT097,MID41A,Motivating,1,2861,1.85
CT098,MID41A,Motivating,1,2861,1.85
CT099,MID41A,Motivating,1,2861,1.85
CT100,MID41B,Motivating,1,2861,1.85
CT101,MID41B,Motivating,1,2861,1.85
CT102,MID41B,Motivating,1,2861,1.85
CT103,MID41C,Motivating,1,2861,1.85
CT104,MID41C,Motivating,1,2861,1.85
CT105,MID41C,Motivating,1,2861,1.85
CT106,MID41CONT,Motivating,1,2861,1.85
CT107,MID41CONT,Motivating,1,2861,1.85
CT108,MID41CONT,Motivating,1,2861,1.85
CT109,MID39A,Motivating,1,2861,1.85
CT110,MID39A,Motivating,1,2861,1.85
CT111,MID39A,Motivating,1,2861,1.85
CT112,MID39B,Motivating,1,2861,1.85
CT113,MID39B,Motivating,1,2861,1.85
CT114,MID39B,Motivating,1,2861,1.85
CT115,MID39C,Motivating,1,2861,1.85
CT116,MID39C,Motivating,1,2861,1.85
CT117,MID39C,Motivating,1,2861,1.85
CT118,MID39CONT,Motivating,1,2861,1.85
CT119,MID39CONT,Motivating,1,2861,1.85
CT120,MID39CONT,Motivating,1,2861,1.85
CT121,MID21A,Motivating,1,2861,1.85
CT122,MID21A,Motivating,1,2861,1.85
CT123,MID21A,Motivating,1,2861,1.85
CT124,MID21B,Motivating,1,2861,1.85
CT125,MID21B,Motivating,1,2861,1.85
CT126,MID21B,Motivating,1,2861,1.85
CT127,MID21C,Motivating,1,2861,1.85
CT128,MID21C,Motivating,1,2861,1.85
CT129,MID21C,Motivating,1,2861,1.85
CT130,MID21CONT,Motivating,1,2861,1.85
CT131,MID21CONT,Motivating,1,2861,1.85
CT132,MID21CONT,Motivating,1,2861,1.85
CT133,MIDtc1A,Motivating,1,2861,1.85
CT134,MIDtc1A,Motivating,1,2861,1.85
CT135,MIDtc1A,Motivating,1,2861,1.85
CT136,MIDtc1B,Motivating,1,2861,1.85
CT137,MIDtc1B,Motivating,1,2861,1.85
CT138,MIDtc1B,Motivating,1,2861,1.85
CT139,MIDtc1C,Motivating,1,2861,1.85
CT140,MIDtc1C,Motivating,1,2861,1.85
CT141,MIDtc1C,Motivating,1,2861,1.85
CT142,MIDtc1CONT,Motivating,1,2861,1.85
CT143,MIDtc1CONT,Motivating,1,2861,1.85
CT144,MIDtc1CONT,Motivating,1,2861,1.85
CT145,MID11A,Motivating,1,2861,1.85
CT146,MID11A,Motivating,1,2861,1.85
CT147,MID11A,Motivating,1,2861,1.85
CT148,MID11B,Motivating,1,2861,1.85
CT149,MID11B,Motivating,1,2861,1.85
CT150,MID11B,Motivating,1,2861,1.85
CT151,MID11C,Motivating,1,2861,1.85
CT152,MID11C,Motivating,1,2861,1.85
CT153,MID11C,Motivating,1,2861,1.85
CT154,MID11CONT,Motivating,1,2861,1.85
CT155,MID11CONT,Motivating,1,2861,1.85
CT156,MID11CONT,Motivating,1,2861,1.85
CT157,MID12A,Motivating,1,2861,1.85
CT158,MID12A,Motivating,1,2861,1.85
CT159,MID12A,Motivating,1,2861,1.85
CT160,MID12B,Motivating,1,2861,1.85
CT161,MID12B,Motivating,1,2861,1.85
CT162,MID12B,Motivating,1,2861,1.85
CT163,MID12C,Motivating,1,2861,1.85
CT164,MID12C,Motivating,1,2861,1.85
CT165,MID12C,Motivating,1,2861,1.85
CT166,MID12CONT,Motivating,1,2861,1.85
CT167,MID12CONT,Motivating,1,2861,1.85
CT168,MID12CONT,Motivating,1,2861,1.85
CT169,K1_2020,Classification,1,2861,1.85
CT170,K1_2020,Classification,1,2861,1.85
CT171,K1_2020,Classification,1,2861,1.85
CT172,K2_2020,Classification,1,2861,1.85
CT173,K2_2020,Classification,1,2861,1.85
CT174,K2_2020,Classification,1,2861,1.85
CT175,M009,Classification,1,2861,1.85
CT176,M009,Classification,1,2861,1.85
CT177,M009,Classification,1,2861,1.85
CT178,NEG,Motivating,1,2861,1.85
CT179,NEG,Motivating,1,2861,1.85
CT180,NEG,Motivating,1,2861,1.85
CT181,MID33A,Motivating,2,2079,1.85
CT182,MID33A,Motivating,2,2079,1.85
CT183,MID33A,Motivating,2,2079,1.85
CT184,MID33B,Motivating,2,2079,1.85
CT185,MID33B,Motivating,2,2079,1.85
CT186,MID33B,Motivating,2,2079,1.85
CT187,MID33C,Motivating,2,2079,1.85
CT188,MID33C,Motivating,2,2079,1.85
CT189,MID33C,Motivating,2,2079,1.85
CT190,MID33CONT,Motivating,2,2079,1.85
CT191,MID33CONT,Motivating,2,2079,1.85
CT192,MID33CONT,Motivating,2,2079,1.85
CT193,MID108A,Motivating,2,2079,1.85
CT194,MID108A,Motivating,2,2079,1.85
CT195,MID108A,Motivating,2,2079,1.85
CT196,MID108B,Motivating,2,2079,1.85
CT197,MID108B,Motivating,2,2079,1.85
CT198,MID108B,Motivating,2,2079,1.85
CT199,MID108C,Motivating,2,2079,1.85
CT200,MID108C,Motivating,2,2079,1.85
CT201,MID108C,Motivating,2,2079,1.85
CT202,MID108CONT,Motivating,2,2079,1.85
CT203,MID108CONT,Motivating,2,2079,1.85
CT204,MID108CONT,Motivating,2,2079,1.85
CT205,MIDR7A,Motivating,2,2079,1.85
CT206,MIDR7A,Motivating,2,2079,1.85
CT207,MIDR7A,Motivating,2,2079,1.85
CT208,MIDR7B,Motivating,2,2079,1.85
CT209,MIDR7B,Motivating,2,2079,1.85
CT210,MIDR7B,Motivating,2,2079,1.85
CT211,MIDR7C,Motivating,2,2079,1.85
CT212,MIDR7C,Motivating,2,2079,1.85
CT213,MIDR7C,Motivating,2,2079,1.85
CT214,MIDR7CONT,Motivating,2,2079,1.85
CT215,MIDR7CONT,Motivating,2,2079,1.85
CT216,MIDR7CONT,Motivating,2,2079,1.85
CT217,MID0330A,Motivating,2,2079,1.85
CT218,MID0330A,Motivating,2,2079,1.85
CT219,MID0330A,Motivating,2,2079,1.85
CT220,MID0330B,Motivating,2,2079,1.85
CT221,MID0330B,Motivating,2,2079,1.85
CT222,MID0330B,Motivating,2,2079,1.85
CT223,MID0330C,Motivating,2,2079,1.85
CT224,MID0330C,Motivating,2,2079,1.85
CT225,MID0330C,Motivating,2,2079,1.85
CT226,MID0330CONT,Motivating,2,2079,1.85
CT227,MID0330CONT,Motivating,2,2079,1.85
CT228,MID0330CONT,Motivating,2,2079,1.85
CT229,MID0328A,Motivating,2,2079,1.85
CT230,MID0328A,Motivating,2,2079,1.85
CT231,MID0328A,Motivating,2,2079,1.85
CT232,MID0328B,Motivating,2,2079,1.85
CT233,MID0328B,Motivating,2,2079,1.85
CT234,MID0328B,Motivating,2,2079,1.85
CT235,MID0328C,Motivating,2,2079,1.85
CT236,MID0328C,Motivating,2,2079,1.85
CT237,MID0328C,Motivating,2,2079,1.85
CT238,MID0328CONT,Motivating,2,2079,1.85
CT239,MID0328CONT,Motivating,2,2079,1.85
CT240,MID0328CONT,Motivating,2,2079,1.85
CT241,MID21HA,Motivating,2,2079,1.85
CT242,MID21HA,Motivating,2,2079,1.85
CT243,MID21HA,Motivating,2,2079,1.85
CT244,MID21HB,Motivating,2,2079,1.85
CT245,MID21HB,Motivating,2,2079,1.85
CT246,MID21HB,Motivating,2,2079,1.85
CT247,MID21HC,Motivating,2,2079,1.85
CT248,MID21HC,Motivating,2,2079,1.85
CT249,MID21HC,Motivating,2,2079,1.85
CT250,MID21HCONT,Motivating,2,2079,1.85
CT251,MID21HCONT,Motivating,2,2079,1.85
CT252,MID21HCONT,Motivating,2,2079,1.85
CT259,CTUM,Motivating,2,2079,1.85
CT260,CTUM,Motivating,2,2079,1.85
CT261,CTUM,Motivating,2,2079,1.85
CT274,NEG,Motivating,2,2079,1.85
CT275,NEG,Motivating,2,2079,1.85
CT276,NEG,Motivating,2,2079,1.85
CT277,MID0289A,Motivating,3,1556,1.84
CT278,MID0289A,Motivating,3,1556,1.84
CT279,MID0289A,Motivating,3,1556,1.84
CT280,MID0289B,Motivating,3,1556,1.84
CT281,MID0289B,Motivating,3,1556,1.84
CT282,MID0289B,Motivating,3,1556,1.84
CT283,MID0289C,Motivating,3,1556,1.84
CT284,MID0289C,Motivating,3,1556,1.84
CT285,MID0289C,Motivating,3,1556,1.84
CT286,MID0289CONT,Motivating,3,1556,1.84
CT287,MID0289CONT,Motivating,3,1556,1.84
CT288,MID0289CONT,Motivating,3,1556,1.84
CT289,MID17A,Motivating,3,1556,1.84
CT290,MID17A,Motivating,3,1556,1.84
CT291,MID17A,Motivating,3,1556,1.84
CT292,MID17B,Motivating,3,1556,1.84
CT293,MID17B,Motivating,3,1556,1.84
CT294,MID17B,Motivating,3,1556,1.84
CT295,MID17C,Motivating,3,1556,1.84
CT296,MID17C,Motivating,3,1556,1.84
CT297,MID17C,Motivating,3,1556,1.84
CT298,MID17CONT,Motivating,3,1556,1.84
CT299,MID17CONT,Motivating,3,1556,1.84
CT300,MID17CONT,Motivating,3,1556,1.84
CT301,MID7A,Motivating,3,1556,1.84
CT302,MID7A,Motivating,3,1556,1.84
CT303,MID7A,Motivating,3,1556,1.84
CT304,MID7B,Motivating,3,1556,1.84
CT305,MID7B,Motivating,3,1556,1.84
CT306,MID7B,Motivating,3,1556,1.84
CT307,MID7C,Motivating,3,1556,1.84
CT308,MID7C,Motivating,3,1556,1.84
CT309,MID7C,Motivating,3,1556,1.84
CT310,MID7CONT,Motivating,3,1556,1.84
CT311,MID7CONT,Motivating,3,1556,1.84
CT312,MID7CONT,Motivating,3,1556,1.84
CT313,MID40A,Motivating,3,1556,1.84
CT314,MID40A,Motivating,3,1556,1.84
CT315,MID40A,Motivating,3,1556,1.84
CT316,MID40B,Motivating,3,1556,1.84
CT317,MID40B,Motivating,3,1556,1.84
CT318,MID40B,Motivating,3,1556,1.84
CT319,MID40C,Motivating,3,1556,1.84
CT320,MID40C,Motivating,3,1556,1.84
CT321,MID40C,Motivating,3,1556,1.84
CT322,MID40CONT,Motivating,3,1556,1.84
CT323,MID40CONT,Motivating,3,1556,1.84
CT324,MID40CONT,Motivating,3,1556,1.84
CT325,MID001A,Motivating,3,1556,1.84
CT326,MID001A,Motivating,3,1556,1.84
CT327,MID001A,Motivating,3,1556,1.84
CT328,MID001B,Motivating,3,1556,1.84
CT329,MID001B,Motivating,3,1556,1.84
CT330,MID001B,Motivating,3,1556,1.84
CT331,MID001C,Motivating,3,1556,1.84
CT332,MID001C,Motivating,3,1556,1.84
CT333,MID001C,Motivating,3,1556,1.84
CT334,MID001CONT,Motivating,3,1556,1.84
CT335,MID001CONT,Motivating,3,1556,1.84
CT336,MID001CONT,Motivating,3,1556,1.84
CT337,MID002A,Motivating,3,1556,1.84
CT338,MID002A,Motivating,3,1556,1.84
CT339,MID002A,Motivating,3,1556,1.84
CT340,MID002C,Motivating,3,1556,1.84
CT341,MID002C,Motivating,3,1556,1.84
CT342,MID002C,Motivating,3,1556,1.84
CT343,MID002CONT,Motivating,3,1556,1.84
CT344,MID002CONT,Motivating,3,1556,1.84
CT345,MID002CONT,Motivating,3,1556,1.84
CT346,FFS2_2020,Classification,3,1556,1.84
CT347,FFS2_2020,Classification,3,1556,1.84
CT348,FFS2_2020,Classification,3,1556,1.84
CT349,FFS1_2020,Classification,3,1556,1.84
CT350,FFS1_2020,Classification,3,1556,1.84
CT351,FFS1_2020,Classification,3,1556,1.84
CT352,PC1,Classification,3,1556,1.84
CT353,PC1,Classification,3,1556,1.84
CT354,PC1,Classification,3,1556,1.84
CT355,CTUM,Classification,3,1556,1.84
CT355,CTUM,Motivating,3,1556,1.84
CT356,CTUM,Classification,3,1556,1.84
CT356,CTUM,Motivating,3,1556,1.84
CT357,CTUM,Classification,3,1556,1.84
CT357,CTUM,Motivating,3,1556,1.84
CT371,NEG,Classification,3,1556,1.84
CT371,NEG,Motivating,3,1556,1.84
CT372,NEG,Classification,3,1556,1.84
CT372,NEG,Motivating,3,1556,1.84
CT373,FB1,Motivating,4,2799,1.873
CT374,FB1,Motivating,4,2799,1.873
CT375,FB1,Motivating,4,2799,1.873
CT376,C1A-1,Motivating,4,2799,1.873
CT377,C1A-1,Motivating,4,2799,1.873
CT378,C1A-1,Motivating,4,2799,1.873
CT379,C1A-2,Motivating,4,2799,1.873
CT380,C1A-2,Motivating,4,2799,1.873
CT381,C1A-2,Motivating,4,2799,1.873
CT382,C1B-1,Motivating,4,2799,1.873
CT383,C1B-1,Motivating,4,2799,1.873
CT384,C1B-1,Motivating,4,2799,1.873
CT385,C1B-2,Motivating,4,2799,1.873
CT386,C1B-2,Motivating,4,2799,1.873
CT387,C1B-2,Motivating,4,2799,1.873
CT388,C10A-1,Motivating,4,2799,1.873
CT389,C10A-1,Motivating,4,2799,1.873
CT390,C10A-1,Motivating,4,2799,1.873
CT391,C10A-2,Motivating,4,2799,1.873
CT392,C10A-2,Motivating,4,2799,1.873
CT393,C10A-2,Motivating,4,2799,1.873
CT394,C10B-1,Motivating,4,2799,1.873
CT395,C10B-1,Motivating,4,2799,1.873
CT396,C10B-1,Motivating,4,2799,1.873
CT397,C10B-2,Motivating,4,2799,1.873
CT398,C10B-2,Motivating,4,2799,1.873
CT399,C10B-2,Motivating,4,2799,1.873
CT400,C2A-1,Motivating,4,2799,1.873
CT401,C2A-1,Motivating,4,2799,1.873
CT402,C2A-1,Motivating,4,2799,1.873
CT403,C2A-2,Motivating,4,2799,1.873
CT404,C2A-2,Motivating,4,2799,1.873
CT405,C2A-2,Motivating,4,2799,1.873
CT406,C2B-1,Motivating,4,2799,1.873
CT407,C2B-1,Motivating,4,2799,1.873
CT408,C2B-1,Motivating,4,2799,1.873
CT409,C2B-2,Motivating,4,2799,1.873
CT410,C2B-2,Motivating,4,2799,1.873
CT411,C2B-2,Motivating,4,2799,1.873
CT412,FB2,Motivating,4,2799,1.873
CT413,FB2,Motivating,4,2799,1.873
CT414,FB2,Motivating,4,2799,1.873
CT415,C3A-1,Motivating,4,2799,1.873
CT416,C3A-1,Motivating,4,2799,1.873
CT417,C3A-1,Motivating,4,2799,1.873
CT418,C3A-2,Motivating,4,2799,1.873
CT419,C3A-2,Motivating,4,2799,1.873
CT420,C3A-2,Motivating,4,2799,1.873
CT421,C3B-1,Motivating,4,2799,1.873
CT422,C3B-1,Motivating,4,2799,1.873
CT423,C3B-1,Motivating,4,2799,1.873
CT424,C3B-2,Motivating,4,2799,1.873
CT425,C3B-2,Motivating,4,2799,1.873
CT426,C3B-2,Motivating,4,2799,1.873
CT427,FB3,Motivating,4,2799,1.873
CT428,FB3,Motivating,4,2799,1.873
CT429,FB3,Motivating,4,2799,1.873
CT430,C4A-1,Motivating,4,2799,1.873
CT431,C4A-1,Motivating,4,2799,1.873
CT432,C4A-1,Motivating,4,2799,1.873
CT433,C4A-2,Motivating,4,2799,1.873
CT434,C4A-2,Motivating,4,2799,1.873
CT435,C4A-2,Motivating,4,2799,1.873
CT436,C4B-1,Motivating,4,2799,1.873
CT437,C4B-1,Motivating,4,2799,1.873
CT438,C4B-1,Motivating,4,2799,1.873
CT439,C4B-2,Motivating,4,2799,1.873
CT440,C4B-2,Motivating,4,2799,1.873
CT441,C4B-2,Motivating,4,2799,1.873
CT442,C5A-1,Motivating,4,2799,1.873
CT443,C5A-1,Motivating,4,2799,1.873
CT444,C5A-1,Motivating,4,2799,1.873
CT445,C5A-2,Motivating,4,2799,1.873
CT446,C5A-2,Motivating,4,2799,1.873
CT447,C5A-2,Motivating,4,2799,1.873
CT448,C5B-1,Motivating,4,2799,1.873
CT449,C5B-1,Motivating,4,2799,1.873
CT450,C5B-1,Motivating,4,2799,1.873
CT451,CTUM,Motivating,4,2799,1.873
CT452,CTUM,Motivating,4,2799,1.873
CT453,CTUM,Motivating,4,2799,1.873
CT466,NEG,Motivating,4,2799,1.873
CT467,NEG,Motivating,4,2799,1.873
CT468,NEG,Motivating,4,2799,1.873
CT469,C5B-2,Motivating,5,1353,1.876
CT470,C5B-2,Motivating,5,1353,1.876
CT471,C5B-2,Motivating,5,1353,1.876
CT472,FB5,Motivating,5,1353,1.876
CT473,FB5,Motivating,5,1353,1.876
CT474,FB5,Motivating,5,1353,1.876
CT475,C6A-1,Motivating,5,1353,1.876
CT476,C6A-1,Motivating,5,1353,1.876
CT477,C6A-1,Motivating,5,1353,1.876
CT478,C9A-1,Motivating,5,1353,1.876
CT479,C9A-1,Motivating,5,1353,1.876
CT480,C9A-1,Motivating,5,1353,1.876
CT481,C9A-2,Motivating,5,1353,1.876
CT482,C9A-2,Motivating,5,1353,1.876
CT483,C9A-2,Motivating,5,1353,1.876
CT484,C9B-1,Motivating,5,1353,1.876
CT485,C9B-1,Motivating,5,1353,1.876
CT486,C9B-1,Motivating,5,1353,1.876
CT487,C9B-2,Motivating,5,1353,1.876
CT488,C9B-2,Motivating,5,1353,1.876
CT489,C9B-2,Motivating,5,1353,1.876
CT490,K3_2020,Classification,5,1353,1.876
CT491,K3_2020,Classification,5,1353,1.876
CT492,K3_2020,Classification,5,1353,1.876
CT493,K4_2020,Classification,5,1353,1.876
CT494,K4_2020,Classification,5,1353,1.876
CT495,K4_2020,Classification,5,1353,1.876
CT496,KFB_2020,Classification,5,1353,1.876
CT497,KFB_2020,Classification,5,1353,1.876
CT498,KFB_2020,Classification,5,1353,1.876
CT520,FFS3_2020,Classification,5,1353,1.876
CT521,FFS3_2020,Classification,5,1353,1.876
CT522,FFS3_2020,Classification,5,1353,1.876
CT523,FFS4_2020,Classification,5,1353,1.876
CT524,FFS4_2020,Classification,5,1353,1.876
CT525,FFS4_2020,Classification,5,1353,1.876
CT526,FFSFB_2020,Classification,5,1353,1.876
CT527,FFSFB_2020,Classification,5,1353,1.876
CT528,FFSFB_2020,Classification,5,1353,1.876
CT544,PC2,Classification,5,1353,1.876
CT545,PC2,Classification,5,1353,1.876
CT546,PC2,Classification,5,1353,1.876
CT547,CTUM,Classification,5,1353,1.876
CT548,CTUM,Classification,5,1353,1.876
CT549,CTUM,Classification,5,1353,1.876
CT562,NEG,Classification,5,1353,1.876
CT563,NEG,Classification,5,1353,1.876
CT564,NEG,Classification,5,1353,1.876
CT565,H31A,Classification,6,2005,1.807
CT566,H31A,Classification,6,2005,1.807
CT567,H31A,Classification,6,2005,1.807
CT568,H31B,Classification,6,2005,1.807
CT569,H31B,Classification,6,2005,1.807
CT570,H31B,Classification,6,2005,1.807
CT571,HMETCA,Classification,6,2005,1.807
CT572,HMETCA,Classification,6,2005,1.807
CT573,HMETCA,Classification,6,2005,1.807
CT574,HMETCB,Classification,6,2005,1.807
CT575,HMETCB,Classification,6,2005,1.807
CT576,HMETCB,Classification,6,2005,1.807
CT577,HSIOA,Classification,6,2005,1.807
CT578,HSIOA,Classification,6,2005,1.807
CT579,HSIOA,Classification,6,2005,1.807
CT580,HSIOB,Classification,6,2005,1.807
CT581,HSIOB,Classification,6,2005,1.807
CT582,HSIOB,Classification,6,2005,1.807
CT583,HSIIA,Classification,6,2005,1.807
CT584,HSIIA,Classification,6,2005,1.807
CT585,HSIIA,Classification,6,2005,1.807
CT586,HFB,Classification,6,2005,1.807
CT587,HFB,Classification,6,2005,1.807
CT588,HFB,Classification,6,2005,1.807
CT589,KBOA,Classification,6,2005,1.807
CT590,KBOA,Classification,6,2005,1.807
CT591,KBOA,Classification,6,2005,1.807
CT592,KBOB,Classification,6,2005,1.807
CT593,KBOB,Classification,6,2005,1.807
CT594,KBOB,Classification,6,2005,1.807
CT595,KPPA,Classification,6,2005,1.807
CT596,KPPA,Classification,6,2005,1.807
CT597,KPPA,Classification,6,2005,1.807
CT598,KPPB,Classification,6,2005,1.807
CT599,KPPB,Classification,6,2005,1.807
CT600,KPPB,Classification,6,2005,1.807
CT601,KBAA,Classification,6,2005,1.807
CT602,KBAA,Classification,6,2005,1.807
CT603,KBAA,Classification,6,2005,1.807
CT604,KBAB,Classification,6,2005,1.807
CT605,KBAB,Classification,6,2005,1.807
CT606,KBAB,Classification,6,2005,1.807
CT607,KFB,Classification,6,2005,1.807
CT608,KFB,Classification,6,2005,1.807
CT609,KFB,Classification,6,2005,1.807
CT610,FCCA,Classification,6,2005,1.807
CT611,FCCA,Classification,6,2005,1.807
CT612,FCCA,Classification,6,2005,1.807
CT613,FCCB,Classification,6,2005,1.807
CT614,FCCB,Classification,6,2005,1.807
CT615,FCCB,Classification,6,2005,1.807
CT616,FAMA,Classification,6,2005,1.807
CT617,FAMA,Classification,6,2005,1.807
CT618,FAMA,Classification,6,2005,1.807
CT619,FAMB,Classification,6,2005,1.807
CT620,FAMB,Classification,6,2005,1.807
CT621,FAMB,Classification,6,2005,1.807
CT622,FOESA,Classification,6,2005,1.807
CT623,FOESA,Classification,6,2005,1.807
CT624,FOESA,Classification,6,2005,1.807
CT625,FOESB,Classification,6,2005,1.807
CT626,FOESB,Classification,6,2005,1.807
CT627,FOESB,Classification,6,2005,1.807
CT628,FFB,Classification,6,2005,1.807
CT629,FFB,Classification,6,2005,1.807
CT630,FFB,Classification,6,2005,1.807
CT643,CTUM,Classification,6,2005,1.807
CT644,CTUM,Classification,6,2005,1.807
CT645,CTUM,Classification,6,2005,1.807
CT658,NEG,Classification,6,2005,1.807
CT659,NEG,Classification,6,2005,1.807
CT660,NEG,Classification,6,2005,1.807
CT661,KHRGA,Classification,7,1261,1.805
CT662,KHRGA,Classification,7,1261,1.805
CT663,KHRGA,Classification,7,1261,1.805
CT664,KHRGB,Classification,7,1261,1.805
CT665,KHRGB,Classification,7,1261,1.805
CT666,KHRGB,Classification,7,1261,1.805
CT667,HSIIB,Classification,7,1261,1.805
CT668,HSIIB,Classification,7,1261,1.805
CT669,HSIIB,Classification,7,1261,1.805
CT670,FBMA,Classification,7,1261,1.805
CT671,FBMA,Classification,7,1261,1.805
CT672,FBMA,Classification,7,1261,1.805
CT673,FBMB,Classification,7,1261,1.805
CT674,FBMB,Classification,7,1261,1.805
CT675,FBMB,Classification,7,1261,1.805
CT676,HKMA,Classification,7,1261,1.805
CT677,HKMA,Classification,7,1261,1.805
CT678,HKMA,Classification,7,1261,1.805
CT679,HKMB,Classification,7,1261,1.805
CT680,HKMB,Classification,7,1261,1.805
CT681,HKMB,Classification,7,1261,1.805
CT682,HKNA,Classification,7,1261,1.805
CT683,HKNA,Classification,7,1261,1.805
CT684,HKNA,Classification,7,1261,1.805
CT685,HKNB,Classification,7,1261,1.805
CT686,HKNB,Classification,7,1261,1.805
CT687,HKNB,Classification,7,1261,1.805
CT688,HKSA,Classification,7,1261,1.805
CT689,HKSA,Classification,7,1261,1.805
CT690,HKSA,Classification,7,1261,1.805
CT691,HKSB,Classification,7,1261,1.805
CT692,HKSB,Classification,7,1261,1.805
CT693,HKSB,Classification,7,1261,1.805
CT694,HKFB,Classification,7,1261,1.805
CT695,HKFB,Classification,7,1261,1.805
CT696,HKFB,Classification,7,1261,1.805
CT739,CTUM,Classification,7,1261,1.805
CT740,CTUM,Classification,7,1261,1.805
CT741,CTUM,Classification,7,1261,1.805
CT754,NEG,Classification,7,1261,1.805
CT755,NEG,Classification,7,1261,1.805
CT756,NEG,Classification,7,1261,1.805
